customer_id,year_month,total,label
12346,2011-12,0.0,0
12347,2011-12,370.953,1
12348,2011-12,0.0,0
12349,2011-12,0.0,0
12350,2011-12,0.0,0
12351,2011-12,0.0,0
12352,2011-12,0.0,0
12353,2011-12,0.0,0
12354,2011-12,0.0,0
12355,2011-12,0.0,0
12356,2011-12,0.0,0
12357,2011-12,0.0,0
12358,2011-12,1127.2799999999997,1
12359,2011-12,-150.56249999999997,0
12360,2011-12,0.0,0
12361,2011-12,0.0,0
12362,2011-12,872.9160000000002,1
12363,2011-12,0.0,0
12364,2011-12,512.0279999999998,1
12365,2011-12,0.0,0
12366,2011-12,0.0,0
12368,2011-12,0.0,0
12369,2011-12,0.0,0
12370,2011-12,0.0,0
12371,2011-12,0.0,0
12372,2011-12,0.0,0
12373,2011-12,0.0,0
12374,2011-12,0.0,0
12375,2011-12,-3.432,0
12376,2011-12,0.0,0
12377,2011-12,0.0,0
12378,2011-12,0.0,0
12379,2011-12,0.0,0
12380,2011-12,0.0,0
12381,2011-12,242.5665,0
12382,2011-12,0.0,0
12383,2011-12,0.0,0
12384,2011-12,0.0,0
12385,2011-12,0.0,0
12386,2011-12,0.0,0
12387,2011-12,0.0,0
12388,2011-12,0.0,0
12389,2011-12,0.0,0
12390,2011-12,0.0,0
12391,2011-12,0.0,0
12392,2011-12,0.0,0
12393,2011-12,0.0,0
12394,2011-12,0.0,0
12395,2011-12,0.0,0
12396,2011-12,0.0,0
12397,2011-12,0.0,0
12398,2011-12,0.0,0
12399,2011-12,0.0,0
12400,2011-12,0.0,0
12401,2011-12,0.0,0
12402,2011-12,0.0,0
12403,2011-12,0.0,0
12404,2011-12,0.0,0
12405,2011-12,0.0,0
12406,2011-12,0.0,0
12407,2011-12,0.0,0
12408,2011-12,0.0,0
12409,2011-12,0.0,0
12410,2011-12,0.0,0
12411,2011-12,0.0,0
12412,2011-12,0.0,0
12413,2011-12,0.0,0
12414,2011-12,0.0,0
12415,2011-12,0.0,0
12416,2011-12,0.0,0
12417,2011-12,610.0545,1
12418,2011-12,0.0,0
12419,2011-12,0.0,0
12420,2011-12,0.0,0
12421,2011-12,0.0,0
12422,2011-12,0.0,0
12423,2011-12,344.256,1
12424,2011-12,0.0,0
12425,2011-12,0.0,0
12426,2011-12,0.0,0
12427,2011-12,0.0,0
12428,2011-12,0.0,0
12429,2011-12,0.0,0
12430,2011-12,0.0,0
12431,2011-12,0.0,0
12432,2011-12,0.0,0
12433,2011-12,4353.8385,1
12434,2011-12,0.0,0
12435,2011-12,0.0,0
12436,2011-12,0.0,0
12437,2011-12,273.735,0
12438,2011-12,0.0,0
12439,2011-12,0.0,0
12440,2011-12,0.0,0
12441,2011-12,0.0,0
12443,2011-12,0.0,0
12444,2011-12,0.0,0
12445,2011-12,0.0,0
12446,2011-12,0.0,0
12447,2011-12,0.0,0
12448,2011-12,0.0,0
12449,2011-12,0.0,0
12450,2011-12,0.0,0
12451,2011-12,0.0,0
12452,2011-12,0.0,0
12453,2011-12,0.0,0
12454,2011-12,0.0,0
12455,2011-12,0.0,0
12456,2011-12,0.0,0
12457,2011-12,0.0,0
12458,2011-12,0.0,0
12459,2011-12,0.0,0
12460,2011-12,0.0,0
12461,2011-12,0.0,0
12462,2011-12,-73.887,0
12463,2011-12,0.0,0
12464,2011-12,0.0,0
12465,2011-12,-13.695,0
12466,2011-12,0.0,0
12467,2011-12,0.0,0
12468,2011-12,0.0,0
12469,2011-12,0.0,0
12470,2011-12,0.0,0
12471,2011-12,3693.5414999999994,1
12472,2011-12,0.0,0
12473,2011-12,0.0,0
12474,2011-12,0.0,0
12475,2011-12,0.0,0
12476,2011-12,-162.9375,0
12477,2011-12,0.0,0
12479,2011-12,-82.33500000000001,0
12480,2011-12,0.0,0
12481,2011-12,0.0,0
12482,2011-12,0.0,0
12483,2011-12,0.0,0
12484,2011-12,0.0,0
12485,2011-12,0.0,0
12486,2011-12,0.0,0
12487,2011-12,0.0,0
12488,2011-12,0.0,0
12489,2011-12,0.0,0
12490,2011-12,762.7949999999998,1
12491,2011-12,0.0,0
12492,2011-12,0.0,0
12493,2011-12,0.0,0
12494,2011-12,0.0,0
12495,2011-12,0.0,0
12496,2011-12,0.0,0
12497,2011-12,0.0,0
12498,2011-12,0.0,0
12499,2011-12,0.0,0
12500,2011-12,0.0,0
12501,2011-12,0.0,0
12502,2011-12,0.0,0
12503,2011-12,0.0,0
12504,2011-12,0.0,0
12505,2011-12,0.0,0
12506,2011-12,0.0,0
12507,2011-12,0.0,0
12508,2011-12,0.0,0
12509,2011-12,0.0,0
12510,2011-12,0.0,0
12511,2011-12,0.0,0
12512,2011-12,0.0,0
12513,2011-12,0.0,0
12514,2011-12,0.0,0
12515,2011-12,0.0,0
12516,2011-12,0.0,0
12517,2011-12,0.0,0
12518,2011-12,559.5809999999999,1
12519,2011-12,0.0,0
12520,2011-12,0.0,0
12521,2011-12,0.0,0
12522,2011-12,0.0,0
12523,2011-12,-31.68,0
12524,2011-12,0.0,0
12525,2011-12,0.0,0
12526,2011-12,457.18199999999996,1
